RT (mins),RI of Sample A,RI of Sample B
26.61666667,128.9852431,110.5524713
26.63333333,127.4345072,109.9762378
26.65,125.8563054,109.4442547
26.66666667,124.2871063,108.9641516
26.68333333,122.688763,108.4916779
26.7,121.0925558,107.7857447
26.71666667,119.4853624,107.0126728
26.73333333,117.8673351,106.2609632
26.75,116.2602943,105.5535041
26.76666667,114.6331118,104.7239747
26.78333333,113.0098966,103.8242549
26.8,111.3795098,102.8085682
26.81666667,109.7686542,102.304051
26.83333333,108.1440657,101.5538673
26.85,106.5292428,100.7273897
26.86666667,104.8663548,99.7574794
26.88333333,103.2106384,99.01187333
26.9,101.5823878,98.13656755
26.91666667,99.98343404,97.36349566
26.93333333,98.3670853,96.44241351
26.95,96.73654588,95.72122151
26.96666667,95.13530334,95.04275412
26.98333333,93.56412062,94.29409629
27,91.97615323,93.57748193
27.01666667,90.4025291,92.99972255
27.03333333,88.85087762,92.22054714
27.05,87.29281746,91.32845669
27.06666667,85.71919333,90.58742826
27.08333333,84.17852819,90.08596284
27.1,82.62855518,89.51125522
27.11666667,81.09612979,88.88619359
27.13333333,79.55882158,88.03682775
27.15,78.05187836,87.11421972
27.16666667,76.56202499,86.17024939
27.18333333,75.10162108,85.34071998
27.2,73.64228528,84.47304359
27.21666667,72.16753811,83.62672951
27.23333333,70.71110149,83.23512737
27.25,69.29159114,82.63753157
27.26666667,67.8656721,81.91176193
27.28333333,66.42922449,81.2287169
27.3,65.00574685,80.165728
27.31666667,63.60347894,79.30873277
27.33333333,62.208993,78.50361742
27.35,60.81160789,77.53370714
27.36666667,59.45084389,76.63551318
27.38333333,58.09221611,75.93873524
27.4,56.74793159,75.28620779
27.41666667,55.41768516,74.55128288
27.43333333,54.07935157,73.68971001
27.45,52.76360099,72.89374993
27.46666667,51.48721809,72.05353937
27.48333333,50.20854637,71.20417353
27.5,48.91675209,70.27546198
27.51666667,47.66493584,69.21247309
27.53333333,46.43204049,68.26392511
27.55,45.20677454,67.62970821
27.56666667,43.98105082,66.78949765
27.58333333,42.76478755,65.9843823
27.6,41.53921642,65.00226499
27.61666667,40.35194486,64.19867552
27.63333333,39.16482588,63.70178773
27.65,37.98960875,63.13470951
27.66666667,36.80798294,62.43335393
27.68333333,35.63581757,61.77777473
27.7,34.49951036,60.93756416
27.71666667,33.377699,60.19806161
27.73333333,32.25436177,59.43261912
27.75,31.17008703,58.66717662
27.76666667,30.08733817,58.19775466
27.78333333,29.04029489,57.45062271
27.8,28.01903895,56.75842241
27.81666667,26.99885114,56.00976458
27.83333333,25.99865233,55.32519368
27.85,25.02042619,54.67876975
27.86666667,24.04311557,53.85076621
27.88333333,23.09494924,53.17840234
27.9,22.12786201,52.40227869
27.91666667,21.1996847,51.69634548
27.93333333,20.29759992,50.88360074
